ASIN,Product Name,color,size,Price
B0CG7N684H,"Apple iPhone 14 Plus, 128GB, Yellow - Unlocked (Renewed)",Yellow,6.33H x 3.07W x 0.31D,$325.00
B0CG7Q621P,"Apple iPhone 14 Plus, 128GB, Yellow - T-Mobile (Renewed)",Yellow,128GB,$365.00
B0CG7T3VXC,Apple IPHONE 14 PLUS 256GB YELLOW,Yellow,256GB,$399.97
B0CG84XR6N,"Apple iPhone 14 Plus, 512GB, Yellow - Unlocked (Renewed)",Yellow,512GB,$439.99
B0BN93MV4K,"Apple iPhone 14 Plus, 128GB, (PRODUCT)Red for T-Mobile (Renewed)",(PRODUCT)Red,128GB,$379.99
B0BN95RL51,"Apple iPhone 14 Plus, 256GB, (PRODUCT) Red for AT&T (Renewed)",(PRODUCT)Red,256GB,$444.97
B0BN95F8J6,"Apple iPhone 14 Plus, 512GB, (PRODUCT)Red for AT&T (Renewed)",(PRODUCT)Red,512GB,$449.97
B0BN9426PP,"Apple iPhone 14 Plus (Renewed), 128GB, Midnight - Unlocked",Midnight,128GB,$337.13
B0BN94GXPV,"Apple iPhone 14 Plus, 256GB, Midnight - Unlocked (Renewed)",Midnight,256GB,$380.00
B0BN95221D,"Apple iPhone 14 Plus, 512GB, Midnight - Unlocked (Renewed)",Midnight,512GB,$481.02
B0BN97DG4N,"Apple iPhone 14 Plus (Renewed), 128GB, Blue - Unlocked",Blue,128GB,$345.95
B0BN96V4Y2,"Apple iPhone 14 Plus, 256GB, Blue - Unlocked (Renewed)",Blue,256GB,$443.37
B0BN95M1QV,"Apple iPhone 14 Plus, 512GB, Blue - Unlocked (Renewed)",Blue,512GB,$423.00
B0BN9RKQL7,"Apple iPhone 14 Plus, 128GB, Purple - Unlocked (Renewed)",Purple,128GB,$356.99
B0BN95BZYC,"Apple iPhone 14 Plus, 256GB, Purple - Unlocked (Renewed)",Purple,256GB,$459.31
B0BN97HDLB,"Apple iPhone 14 Plus, 512GB, Purple - Unlocked (Renewed)",Purple,512GB,$433.29
B0BN9WW4K5,"Apple iPhone 14 Plus, 256GB, (PRODUCT)Red - Unlocked (Renewed)",Red,256GB,$394.80
B0BN94NVT3,"Apple iPhone 14 Plus, 512GB, (PRODUCT) Red - Unlocked (Renewed)",Red,512GB,$441.68
B0BN94V29X,"Apple iPhone 14 Plus, 128GB, Starlight - Unlocked (Renewed)",Starlight,128GB,$356.63
B0BN97F664,"Apple iPhone 14 Plus, 256GB, Starlight - Unlocked (Renewed)",Starlight,256GB,$394.95
B0BN96NY9X,"Apple iPhone 14 Plus, 512GB, Starlight - Unlocked (Renewed)",Starlight,512GB,$439.99
